0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind; 2011-10-31; NaN; United States; 061731a9-1f19-4dab-b480-acc7aa48078f; 
0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind (Remixes); 2012-05-01; NaN; United States; bf416666-a4b3-4057-9549-8c90b82973db; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Blonde remix); 2017-10-24; RCA; United States; bfb03671-1713-4636-aa01-f8d143c54b70; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Rude Kid remix); 2017-10-24; RCA; United States; af60b682-9a90-44fa-8e5e-e724f786ffa1; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Slushii remix); 2017-10-12; RCA; United States; 3b924288-a0d0-43a8-93e3-a988a4d29b53; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (SUMR CAMP remix); 2017-10-12; RCA; United States; db75db98-e7e7-4538-a4b4-52e910df240e; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Illenium remix); 2017-10-12; RCA; United States; d915e9c1-5cf7-44a4-96ef-d5976fb51f57; 
0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind; 2011-10-31; NaN; United States; 061731a9-1f19-4dab-b480-acc7aa48078f; 
0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind (Remixes); 2012-05-01; NaN; United States; bf416666-a4b3-4057-9549-8c90b82973db; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Blonde remix); 2017-10-24; RCA; United States; bfb03671-1713-4636-aa01-f8d143c54b70; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Rude Kid remix); 2017-10-24; RCA; United States; af60b682-9a90-44fa-8e5e-e724f786ffa1; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Slushii remix); 2017-10-12; RCA; United States; 3b924288-a0d0-43a8-93e3-a988a4d29b53; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (SUMR CAMP remix); 2017-10-12; RCA; United States; db75db98-e7e7-4538-a4b4-52e910df240e; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Illenium remix); 2017-10-12; RCA; United States; d915e9c1-5cf7-44a4-96ef-d5976fb51f57; 
0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind; 2011-10-31; NaN; United States; 061731a9-1f19-4dab-b480-acc7aa48078f; 
0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind (Remixes); 2012-05-01; NaN; United States; bf416666-a4b3-4057-9549-8c90b82973db; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Rude Kid remix); 2017-10-24; RCA; United States; af60b682-9a90-44fa-8e5e-e724f786ffa1; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Slushii remix); 2017-10-12; RCA; United States; 3b924288-a0d0-43a8-93e3-a988a4d29b53; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (SUMR CAMP remix); 2017-10-12; RCA; United States; db75db98-e7e7-4538-a4b4-52e910df240e; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Illenium remix); 2017-10-12; RCA; United States; d915e9c1-5cf7-44a4-96ef-d5976fb51f57; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Blonde remix); 2017-10-24; RCA; United States; bfb03671-1713-4636-aa01-f8d143c54b70; 
0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind; 2011-10-31; NaN; United States; 061731a9-1f19-4dab-b480-acc7aa48078f; 
0; 5; 5; Sean Paul; She Doesn't Mind; Sean Paul; She Doesn't Mind (Remixes); 2012-05-01; NaN; United States; bf416666-a4b3-4057-9549-8c90b82973db; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Rude Kid remix); 2017-10-24; RCA; United States; af60b682-9a90-44fa-8e5e-e724f786ffa1; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Slushii remix); 2017-10-12; RCA; United States; 3b924288-a0d0-43a8-93e3-a988a4d29b53; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (SUMR CAMP remix); 2017-10-12; RCA; United States; db75db98-e7e7-4538-a4b4-52e910df240e; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Illenium remix); 2017-10-12; RCA; United States; d915e9c1-5cf7-44a4-96ef-d5976fb51f57; 
0; 6; 1; Marshmello feat. Khalid; Silence (DJ Damian Remix); Marshmello; Silence (Blonde remix); 2017-10-24; RCA; United States; bfb03671-1713-4636-aa01-f8d143c54b70; 
